Grupo,Hora,"ID do Sensor","Temperatura (°C)","Umidade (%)","Pressão (hPa)","Altitude (m)",eCO2,eTVOC
3,09:28:27,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:38:18,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:38:22,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:38:26,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:38:37,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:47:51,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:47:54,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:47:58,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:48:10,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:57:29,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:57:33,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:57:37,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,09:57:49,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:06:38,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:06:41,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:06:43,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:06:52,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:16:25,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:16:29,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:16:33,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:16:45,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:26:04,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:26:07,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:26:10,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:26:19,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:35:42,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:35:46,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:35:49,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:36:01,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:44:56,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:45:00,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:45:04,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:45:15,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:54:48,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:54:51,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:54:55,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,10:55:07,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:03:24,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:03:27,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:03:30,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:03:38,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:12:44,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:12:47,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:12:51,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:13:03,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:22:43,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:22:47,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:22:50,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:23:00,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:30:20,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:30:24,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:30:28,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:30:40,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:40:22,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:40:26,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:40:30,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:40:42,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:50:10,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:50:13,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:50:17,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:50:29,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:59:12,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:59:15,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:59:19,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,11:59:30,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:07:30,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:07:34,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:07:38,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:07:49,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:15:07,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:15:10,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:15:14,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:15:24,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:23:02,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:23:06,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
